Item,QuantitySold,DateSold,Week,Label,MilkFat,Price,Month
Corn2%Milk1/2Gal,2,3/14/2022,7,Static,ReducedFat,3.19,2
CornelMilk1/2Gal,2,3/14/2022,7,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,1,3/14/2022,7,QRCode,Whole,3.19,2
Milk2%Disc2.55/ITH,1,3/14/2022,7,Static,ReducedFat,2.55,2
Mlk2%Project3.19/ITH,0,3/14/2022,7,QRCode,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/15/2022,7,Static,Whole,3.19,2
Mlk2%Project3.19/ITH,1,3/15/2022,7,QRCode,ReducedFat,3.19,2
MlkWhlProjec3.19/ITH,1,3/15/2022,7,QRCode,Whole,3.19,2
Corn2%Milk1/2Gal,1,3/16/2022,7,Static,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/16/2022,7,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,1,3/16/2022,7,QRCode,Whole,3.19,2
CornSkMilk1/2Gal,1,3/16/2022,7,Static,Skim,3.19,2
MlkSkmProjec3.19/ITH,1,3/16/2022,7,QRCode,Skim,3.19,2
MlkWhlProjec3.19/ITH,2,3/17/2022,7,QRCode,Whole,3.19,2
CornSkMilk1/2Gal,1,3/17/2022,7,Static,Skim,3.19,2
Mlk2%Project3.19/ITH,1,3/17/2022,7,QRCode,ReducedFat,3.19,2
MlkSkmProjec3.19/ITH,0,3/17/2022,7,QRCode,Skim,3.19,2
MlkWhlProjec3.19/ITH,3,3/18/2022,7,QRCode,Whole,3.19,2
Mlk2%Project3.19/ITH,2,3/18/2022,7,QRCode,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/18/2022,7,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,2,3/22/2022,8,QRCode,Whole,3.19,2
CornelMilk1/2Gal,1,3/22/2022,8,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,2,3/23/2022,8,QRCode,Whole,3.19,2
CornelMilk1/2Gal,1,3/23/2022,8,Static,Whole,3.19,2
Milk2%Disc1.99/ITH,1,3/23/2022,8,Static,ReducedFat,1.91,2
MlkSkmProjec3.19/ITH,1,3/24/2022,8,QRCode,Skim,3.19,2
Corn2%Milk1/2Gal,2,3/25/2022,8,Static,ReducedFat,3.19,2
MlkWhlProjec3.19/ITH,1,3/25/2022,8,QRCode,Whole,3.19,2
