uuid,qr,user-agent,x-forwarded-for,cookie,createdAt,updatedAt
96862840-95b0-11ec-aa15-a3923329628c,DEtFzEXtKTEALFj7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36",40.94.20.97,,2/24/2022 15:30,2/24/2022 15:30
35d3a140-95af-11ec-aa15-a3923329628c,kC5pIMq5K3fPH2vw,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.125.208,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/24/2022 15:20,2/24/2022 15:20
60bfb4e0-95ad-11ec-aa15-a3923329628c,CRgEmDKgXGDNYEw4,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.125.208,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/24/2022 15:07,2/24/2022 15:07
795b0cb0-94be-11ec-92a8-af64d716f0c6,rJln8GpiPyf4xZTx,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.127.33,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/23/2022 10:37,2/23/2022 10:37
da00b2c0-940c-11ec-bd07-070c25c649c7,rJln8GpiPyf4xZTx,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",174.244.114.122,NLWhBJv0UE7wDtdBDlzMEKYtDJaq0OM8,2/22/2022 13:25,2/22/2022 13:26
ce8b4cc0-935d-11ec-bd07-070c25c649c7,5gzoezWXOyyd3tNk,"Mozilla/5.0 (Linux; Android 11; moto g stylus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36",128.84.127.86,pIGO1NDELKWCVBVdYOj5z2LWrTgBnVoZ,2/21/2022 16:32,2/21/2022 16:32
bdc46890-935d-11ec-bd07-070c25c649c7,5gzoezWXOyyd3tNk,"Mozilla/5.0 (Linux; Android 11; moto g stylus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36",128.84.127.86,,2/21/2022 16:32,2/21/2022 16:32
94dbd270-9325-11ec-81f8-0b9887f4eb42,64Z32pVHc536Vypz,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",174.244.112.161,gY5c-VcjsuvF7fjMVqpjRZF_tdhHpZoE,2/21/2022 9:50,2/21/2022 9:50
58e205b0-904a-11ec-be72-65798f5d6a49,09zpKUiyl1whvYsJ,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1",104.28.133.63,jBx5eWHHtWlGHBUZc5puQCxopSGhlUHp,2/17/2022 18:35,2/17/2022 18:35
84f9b5f0-9025-11ec-be72-65798f5d6a49,wfK9lHLEP1gyrcn0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36",69.203.92.62,KI91KEqZ5T-jquwsj3wuem7Rc7Tfil9r,2/17/2022 14:12,2/17/2022 14:12
2150a1f0-8f79-11ec-9e90-9d3b1b85ac1e,5gzoezWXOyyd3tNk,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",107.77.225.170,GWkFTIw5qtgC0duGEdecEYdyY-Myjzcp,2/16/2022 17:38,2/16/2022 17:38
66541310-8f59-11ec-9e90-9d3b1b85ac1e,rJln8GpiPyf4xZTx,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",172.58.219.255,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/16/2022 13:51,2/16/2022 13:51
654075a0-8f58-11ec-9e90-9d3b1b85ac1e,9LbZIbvk8Fa56I8j,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36",40.94.27.85,,2/16/2022 13:43,2/16/2022 13:43
65402780-8f58-11ec-9e90-9d3b1b85ac1e,z3bA40aCCLeJGeGt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36",40.94.27.95,,2/16/2022 13:43,2/16/2022 13:43
4b09a4e0-8f58-11ec-9e90-9d3b1b85ac1e,z3bA40aCCLeJGeGt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",40.94.36.30,,2/16/2022 13:43,2/16/2022 13:43
4afc1050-8f58-11ec-9e90-9d3b1b85ac1e,9LbZIbvk8Fa56I8j,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",40.94.36.55,,2/16/2022 13:43,2/16/2022 13:43
653f8b40-8f58-11ec-9e90-9d3b1b85ac1e,eWya1TcvCla7kMGk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36",40.94.27.16,,2/16/2022 13:43,2/16/2022 13:43
4afc8580-8f58-11ec-9e90-9d3b1b85ac1e,eWya1TcvCla7kMGk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",40.94.36.56,,2/16/2022 13:43,2/16/2022 13:43
70f342c0-8f57-11ec-9e90-9d3b1b85ac1e,6YaMVoix5Sn23V5w,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.124.84,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/16/2022 13:37,2/16/2022 13:37
ece140a0-8f55-11ec-9e90-9d3b1b85ac1e,rJln8GpiPyf4xZTx,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.124.84,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/16/2022 13:26,2/16/2022 13:26
c12002c0-8e93-11ec-bdd6-478b3b1f8e77,09zpKUiyl1whvYsJ,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1",174.244.113.150,1HEaRkO6xWP_enKyxpw1CbW3VdYvTJOV,2/15/2022 14:16,2/15/2022 14:16
ae8f5b10-8e93-11ec-bdd6-478b3b1f8e77,09zpKUiyl1whvYsJ,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1",174.244.113.150,1HEaRkO6xWP_enKyxpw1CbW3VdYvTJOV,2/15/2022 14:15,2/15/2022 14:15
49444700-8a9e-11ec-b8cb-3f327c57d805,8tmbfmJKBlle6gAx,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36",40.94.25.20,,2/10/2022 13:21,2/10/2022 13:21
e9ec6e00-8a9c-11ec-b8cb-3f327c57d805,5gzoezWXOyyd3tNk,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.124.36,1iSc7YNAcJgpAtf1mbekIOBS3LvcqUUZ,2/10/2022 13:11,2/10/2022 13:11
62f83680-8a7a-11ec-b8cb-3f327c57d805,09zpKUiyl1whvYsJ,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.18(0x1800122b) NetType/WIFI Language/zh_CN",221.15.25.100,A7Y8GLzEyc7naYsiRbTOsTwxLvXyP5n-,2/10/2022 9:04,2/10/2022 9:04
a3c252a0-8a79-11ec-b8cb-3f327c57d805,09zpKUiyl1whvYsJ,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",24.97.110.217,EV6-0fDdwlCiXn0M42tI5_eqbL0LFQ4y,2/10/2022 8:59,2/10/2022 8:59
